episode 111, score -109.27, avg_score_total -94.30, avg_score_last_20 -104.19, time_steps_per_episode 42, learning_steps 2, std_score 13.87, std_score_last_20 14.74, total_time_steps 122568, total_learning_steps 6112, total_terminations 37, total_truncations 75
episode 112, score -112.66, avg_score_total -94.47, avg_score_last_20 -104.47, time_steps_per_episode 58, learning_steps 2, std_score 13.91, std_score_last_20 14.85, total_time_steps 122626, total_learning_steps 6114, total_terminations 38, total_truncations 75
episode 113, score -110.04, avg_score_total -94.60, avg_score_last_20 -106.37, time_steps_per_episode 60, learning_steps 3, std_score 13.93, std_score_last_20 12.87, total_time_steps 122686, total_learning_steps 6117, total_terminations 39, total_truncations 75
episode 114, score -112.25, avg_score_total -94.76, avg_score_last_20 -106.64, time_steps_per_episode 55, learning_steps 2, std_score 13.96, std_score_last_20 12.93, total_time_steps 122741, total_learning_steps 6119, total_terminations 40, total_truncations 75
episode 115, score -106.91, avg_score_total -94.86, avg_score_last_20 -108.20, time_steps_per_episode 45, learning_steps 2, std_score 13.95, std_score_last_20 10.82, total_time_steps 122786, total_learning_steps 6121, total_terminations 41, total_truncations 75
episode 116, score -109.74, avg_score_total -94.99, avg_score_last_20 -107.81, time_steps_per_episode 40, learning_steps 2, std_score 13.96, std_score_last_20 10.61, total_time_steps 122826, total_learning_steps 6123, total_terminations 42, total_truncations 75
episode 117, score -112.59, avg_score_total -95.14, avg_score_last_20 -107.35, time_steps_per_episode 51, learning_steps 2, std_score 13.99, std_score_last_20 10.18, total_time_steps 122877, total_learning_steps 6125, total_terminations 43, total_truncations 75
episode 118, score -110.86, avg_score_total -95.27, avg_score_last_20 -109.04, time_steps_per_episode 49, learning_steps 2, std_score 14.00, std_score_last_20 7.45, total_time_steps 122926, total_learning_steps 6127, total_terminations 44, total_truncations 75
episode 119, score -115.51, avg_score_total -95.44, avg_score_last_20 -109.37, time_steps_per_episode 96, learning_steps 4, std_score 14.07, std_score_last_20 7.58, total_time_steps 123022, total_learning_steps 6131, total_terminations 45, total_truncations 75
episode 120, score -113.17, avg_score_total -95.58, avg_score_last_20 -109.56, time_steps_per_episode 59, learning_steps 2, std_score 14.10, std_score_last_20 7.62, total_time_steps 123081, total_learning_steps 6133, total_terminations 46, total_truncations 75
episode 121, score -106.24, avg_score_total -95.67, avg_score_last_20 -109.46, time_steps_per_episode 69, learning_steps 3, std_score 14.08, std_score_last_20 7.65, total_time_steps 123150, total_learning_steps 6136, total_terminations 47, total_truncations 75
episode 122, score -115.27, avg_score_total -95.83, avg_score_last_20 -109.53, time_steps_per_episode 90, learning_steps 4, std_score 14.13, std_score_last_20 7.70, total_time_steps 123240, total_learning_steps 6140, total_terminations 48, total_truncations 75
