episode 85, score -134.0, avg_score_total -276.453, avg_score_last_20 -124.350, time_steps_per_episode 135, learning_steps 6, std_score 151.414, std_score_last_20 20.316, total_time_steps 23841, total_learning_steps 1162, total_terminations 66, total_truncations 20
episode 86, score -104.0, avg_score_total -274.471, avg_score_last_20 -122.950, time_steps_per_episode 105, learning_steps 5, std_score 151.660, std_score_last_20 20.701, total_time_steps 23946, total_learning_steps 1167, total_terminations 67, total_truncations 20
episode 87, score -96.0, avg_score_total -272.443, avg_score_last_20 -122.100, time_steps_per_episode 97, learning_steps 4, std_score 151.977, std_score_last_20 21.429, total_time_steps 24043, total_learning_steps 1171, total_terminations 68, total_truncations 20
episode 88, score -132.0, avg_score_total -270.865, avg_score_last_20 -119.650, time_steps_per_episode 133, learning_steps 6, std_score 151.844, std_score_last_20 16.871, total_time_steps 24176, total_learning_steps 1177, total_terminations 69, total_truncations 20
episode 89, score -85.0, avg_score_total -268.800, avg_score_last_20 -118.150, time_steps_per_episode 86, learning_steps 4, std_score 152.250, std_score_last_20 18.475, total_time_steps 24262, total_learning_steps 1181, total_terminations 70, total_truncations 20
episode 90, score -92.0, avg_score_total -266.857, avg_score_last_20 -115.100, time_steps_per_episode 93, learning_steps 4, std_score 152.529, std_score_last_20 17.478, total_time_steps 24355, total_learning_steps 1185, total_terminations 71, total_truncations 20
episode 91, score -94.0, avg_score_total -264.978, avg_score_last_20 -114.400, time_steps_per_episode 95, learning_steps 4, std_score 152.753, std_score_last_20 18.021, total_time_steps 24450, total_learning_steps 1189, total_terminations 72, total_truncations 20
episode 92, score -88.0, avg_score_total -263.075, avg_score_last_20 -112.150, time_steps_per_episode 89, learning_steps 4, std_score 153.022, std_score_last_20 18.364, total_time_steps 24539, total_learning_steps 1193, total_terminations 73, total_truncations 20
episode 93, score -97.0, avg_score_total -261.309, avg_score_last_20 -111.050, time_steps_per_episode 98, learning_steps 4, std_score 153.157, std_score_last_20 18.578, total_time_steps 24637, total_learning_steps 1197, total_terminations 74, total_truncations 20
episode 94, score -112.0, avg_score_total -259.737, avg_score_last_20 -110.300, time_steps_per_episode 113, learning_steps 5, std_score 153.108, std_score_last_20 18.218, total_time_steps 24750, total_learning_steps 1202, total_terminations 75, total_truncations 20
episode 95, score -134.0, avg_score_total -258.427, avg_score_last_20 -112.450, time_steps_per_episode 135, learning_steps 6, std_score 152.843, std_score_last_20 18.351, total_time_steps 24885, total_learning_steps 1208, total_terminations 76, total_truncations 20
episode 96, score -103.0, avg_score_total -256.825, avg_score_last_20 -112.650, time_steps_per_episode 104, learning_steps 5, std_score 152.861, std_score_last_20 18.224, total_time_steps 24989, total_learning_steps 1213, total_terminations 77, total_truncations 20
episode 97, score -141.0, avg_score_total -255.643, avg_score_last_20 -112.950, time_steps_per_episode 142, learning_steps 7, std_score 152.524, std_score_last_20 18.635, total_time_steps 25131, total_learning_steps 1220, total_terminations 78, total_truncations 20
episode 98, score -100.0, avg_score_total -254.071, avg_score_last_20 -111.850, time_steps_per_episode 101, learning_steps 5, std_score 152.548, std_score_last_20 18.717, total_time_steps 25232, total_learning_steps 1225, total_terminations 79, total_truncations 20
episode 99, score -158.0, avg_score_total -253.110, avg_score_last_20 -112.650, time_steps_per_episode 159, learning_steps 7, std_score 152.084, std_score_last_20 20.266, total_time_steps 25391, total_learning_steps 1232, total_terminations 80, total_truncations 20
episode 100, score -111.0, avg_score_total -251.703, avg_score_last_20 -113.150, time_steps_per_episode 112, learning_steps 5, std_score 151.982, std_score_last_20 20.095, total_time_steps 25503, total_learning_steps 1237, total_terminations 81, total_truncations 20
episode 101, score -123.0, avg_score_total -250.441, avg_score_last_20 -113.850, time_steps_per_episode 124, learning_steps 6, std_score 151.766, std_score_last_20 20.182, total_time_steps 25627, total_learning_steps 1243, total_terminations 82, total_truncations 20
episode 102, score -97.0, avg_score_total -248.951, avg_score_last_20 -112.450, time_steps_per_episode 98, learning_steps 4, std_score 151.775, std_score_last_20 20.331, total_time_steps 25725, total_learning_steps 1247, total_terminations 83, total_truncations 20
episode 103, score -107.0, avg_score_total -247.587, avg_score_last_20 -110.800, time_steps_per_episode 108, learning_steps 5, std_score 151.677, std_score_last_20 19.343, total_time_steps 25833, total_learning_steps 1252, total_terminations 84, total_truncations 20
episode 104, score -96.0, avg_score_total -246.143, avg_score_last_20 -110.200, time_steps_per_episode 97, learning_steps 4, std_score 151.670, std_score_last_20 19.605, total_time_steps 25930, total_learning_steps 1256, total_terminations 85, total_truncations 20
episode 105, score -95.0, avg_score_total -244.717, avg_score_last_20 -108.250, time_steps_per_episode 96, learning_steps 4, std_score 151.658, std_score_last_20 19.073, total_time_steps 26026, total_learning_steps 1260, total_terminations 86, total_truncations 20
episode 106, score -96.0, avg_score_total -243.327, avg_score_last_20 -107.850, time_steps_per_episode 97, learning_steps 4, std_score 151.624, std_score_last_20 19.241, total_time_steps 26123, total_learning_steps 1264, total_terminations 87, total_truncations 20
episode 107, score -120.0, avg_score_total -242.185, avg_score_last_20 -109.050, time_steps_per_episode 121, learning_steps 6, std_score 151.382, std_score_last_20 19.213, total_time_steps 26244, total_learning_steps 1270, total_terminations 88, total_truncations 20
episode 108, score -99.0, avg_score_total -240.872, avg_score_last_20 -107.400, time_steps_per_episode 100, learning_steps 5, std_score 151.303, std_score_last_20 18.578, total_time_steps 26344, total_learning_steps 1275, total_terminations 89, total_truncations 20
episode 109, score -100.0, avg_score_total -239.591, avg_score_last_20 -108.150, time_steps_per_episode 101, learning_steps 5, std_score 151.206, std_score_last_20 17.951, total_time_steps 26445, total_learning_steps 1280, total_terminations 90, total_truncations 20
episode 110, score -86.0, avg_score_total -238.207, avg_score_last_20 -107.850, time_steps_per_episode 87, learning_steps 4, std_score 151.222, std_score_last_20 18.265, total_time_steps 26532, total_learning_steps 1284, total_terminations 91, total_truncations 20
episode 111, score -92.0, avg_score_total -236.902, avg_score_last_20 -107.750, time_steps_per_episode 93, learning_steps 4, std_score 151.172, std_score_last_20 18.346, total_time_steps 26625, total_learning_steps 1288, total_terminations 92, total_truncations 20
episode 112, score -104.0, avg_score_total -235.726, avg_score_last_20 -108.550, time_steps_per_episode 105, learning_steps 5, std_score 151.016, std_score_last_20 17.809, total_time_steps 26730, total_learning_steps 1293, total_terminations 93, total_truncations 20
episode 113, score -72.0, avg_score_total -234.289, avg_score_last_20 -107.300, time_steps_per_episode 73, learning_steps 3, std_score 151.125, std_score_last_20 19.383, total_time_steps 26803, total_learning_steps 1296, total_terminations 94, total_truncations 20
episode 114, score -92.0, avg_score_total -233.052, avg_score_last_20 -106.300, time_steps_per_episode 93, learning_steps 4, std_score 151.045, std_score_last_20 19.629, total_time_steps 26896, total_learning_steps 1300, total_terminations 95, total_truncations 20
episode 115, score -135.0, avg_score_total -232.207, avg_score_last_20 -106.350, time_steps_per_episode 136, learning_steps 6, std_score 150.666, std_score_last_20 19.701, total_time_steps 27032, total_learning_steps 1306, total_terminations 96, total_truncations 20
episode 116, score -88.0, avg_score_total -230.974, avg_score_last_20 -105.600, time_steps_per_episode 89, learning_steps 4, std_score 150.607, std_score_last_20 20.096, total_time_steps 27121, total_learning_steps 1310, total_terminations 97, total_truncations 20
episode 117, score -86.0, avg_score_total -229.746, avg_score_last_20 -102.850, time_steps_per_episode 87, learning_steps 4, std_score 150.555, std_score_last_20 18.784, total_time_steps 27208, total_learning_steps 1314, total_terminations 98, total_truncations 20
episode 118, score -107.0, avg_score_total -228.714, avg_score_last_20 -103.200, time_steps_per_episode 108, learning_steps 5, std_score 150.339, std_score_last_20 18.793, total_time_steps 27316, total_learning_steps 1319, total_terminations 99, total_truncations 20
episode 119, score -84.0, avg_score_total -227.508, avg_score_last_20 -99.500, time_steps_per_episode 85, learning_steps 4, std_score 150.288, std_score_last_20 14.414, total_time_steps 27401, total_learning_steps 1323, total_terminations 100, total_truncations 20
episode 120, score -88.0, avg_score_total -226.355, avg_score_last_20 -98.350, time_steps_per_episode 89, learning_steps 4, std_score 150.198, std_score_last_20 14.368, total_time_steps 27490, total_learning_steps 1327, total_terminations 101, total_truncations 20
episode 121, score -124.0, avg_score_total -225.516, avg_score_last_20 -98.400, time_steps_per_episode 125, learning_steps 6, std_score 149.865, std_score_last_20 14.455, total_time_steps 27615, total_learning_steps 1333, total_terminations 102, total_truncations 20
episode 122, score -119.0, avg_score_total -224.650, avg_score_last_20 -99.500, time_steps_per_episode 120, learning_steps 6, std_score 149.561, std_score_last_20 15.128, total_time_steps 27735, total_learning_steps 1339, total_terminations 103, total_truncations 20
episode 123, score -88.0, avg_score_total -223.548, avg_score_last_20 -98.550, time_steps_per_episode 89, learning_steps 4, std_score 149.457, std_score_last_20 15.223, total_time_steps 27824, total_learning_steps 1343, total_terminations 104, total_truncations 20
