episode 80, score -1028.003908506367, avg_score_total -1360.268, avg_score_last_20 -1183.5195454356242, time_steps_per_episode 200, learning_steps 40, total_time_steps 16200, total_learning_steps 3240
episode 81, score -918.3660682309109, avg_score_total -1354.879, avg_score_last_20 -1175.7323926315853, time_steps_per_episode 200, learning_steps 40, total_time_steps 16400, total_learning_steps 3280
episode 82, score -1176.3589544498368, avg_score_total -1352.728, avg_score_last_20 -1170.3170463321246, time_steps_per_episode 200, learning_steps 40, total_time_steps 16600, total_learning_steps 3320
episode 83, score -835.1408412051206, avg_score_total -1346.567, avg_score_last_20 -1139.412607541581, time_steps_per_episode 200, learning_steps 40, total_time_steps 16800, total_learning_steps 3360
episode 84, score -1182.1460090501334, avg_score_total -1344.632, avg_score_last_20 -1136.2522544118349, time_steps_per_episode 200, learning_steps 40, total_time_steps 17000, total_learning_steps 3400
episode 85, score -1497.1048547154871, avg_score_total -1346.405, avg_score_last_20 -1158.7028698087938, time_steps_per_episode 200, learning_steps 40, total_time_steps 17200, total_learning_steps 3440
episode 86, score -1522.838360788376, avg_score_total -1348.433, avg_score_last_20 -1173.671761858411, time_steps_per_episode 200, learning_steps 40, total_time_steps 17400, total_learning_steps 3480
episode 87, score -1232.816017641775, avg_score_total -1347.119, avg_score_last_20 -1173.8072442063403, time_steps_per_episode 200, learning_steps 40, total_time_steps 17600, total_learning_steps 3520
episode 88, score -942.1240756066668, avg_score_total -1342.569, avg_score_last_20 -1168.8848194023808, time_steps_per_episode 200, learning_steps 40, total_time_steps 17800, total_learning_steps 3560
episode 89, score -1660.5243706644853, avg_score_total -1346.102, avg_score_last_20 -1190.591591454556, time_steps_per_episode 200, learning_steps 40, total_time_steps 18000, total_learning_steps 3600
episode 90, score -1484.1234037090512, avg_score_total -1347.618, avg_score_last_20 -1215.5614560890622, time_steps_per_episode 200, learning_steps 40, total_time_steps 18200, total_learning_steps 3640
episode 91, score -1304.5987102303268, avg_score_total -1347.151, avg_score_last_20 -1222.316449843546, time_steps_per_episode 200, learning_steps 40, total_time_steps 18400, total_learning_steps 3680
episode 92, score -1042.3951530021527, avg_score_total -1343.874, avg_score_last_20 -1213.9930001855905, time_steps_per_episode 200, learning_steps 40, total_time_steps 18600, total_learning_steps 3720
episode 93, score -1472.9011509279806, avg_score_total -1345.246, avg_score_last_20 -1228.7761135351632, time_steps_per_episode 200, learning_steps 40, total_time_steps 18800, total_learning_steps 3760
episode 94, score -1644.879883567342, avg_score_total -1348.400, avg_score_last_20 -1267.146720981044, time_steps_per_episode 200, learning_steps 40, total_time_steps 19000, total_learning_steps 3800
episode 95, score -1408.9885218088198, avg_score_total -1349.032, avg_score_last_20 -1262.808937374982, time_steps_per_episode 200, learning_steps 40, total_time_steps 19200, total_learning_steps 3840
episode 96, score -1673.232855906469, avg_score_total -1352.374, avg_score_last_20 -1283.502639213092, time_steps_per_episode 200, learning_steps 40, total_time_steps 19400, total_learning_steps 3880
episode 97, score -1226.970277571952, avg_score_total -1351.094, avg_score_last_20 -1274.5554769300982, time_steps_per_episode 200, learning_steps 40, total_time_steps 19600, total_learning_steps 3920
episode 98, score -1627.7583226256502, avg_score_total -1353.889, avg_score_last_20 -1303.5654309933261, time_steps_per_episode 200, learning_steps 40, total_time_steps 19800, total_learning_steps 3960
episode 99, score -1643.2623149730778, avg_score_total -1356.783, avg_score_last_20 -1326.2267027590992, time_steps_per_episode 200, learning_steps 40, total_time_steps 20000, total_learning_steps 4000
episode 100, score -1631.1521848381808, avg_score_total -1359.499, avg_score_last_20 -1356.3841165756899, time_steps_per_episode 200, learning_steps 40, total_time_steps 20200, total_learning_steps 4040
episode 101, score -1524.2000345370805, avg_score_total -1361.114, avg_score_last_20 -1386.6758148909983, time_steps_per_episode 200, learning_steps 40, total_time_steps 20400, total_learning_steps 4080
episode 102, score -1143.805422918513, avg_score_total -1359.004, avg_score_last_20 -1385.0481383144322, time_steps_per_episode 200, learning_steps 40, total_time_steps 20600, total_learning_steps 4120
episode 103, score -1340.158848539729, avg_score_total -1358.823, avg_score_last_20 -1410.2990386811625, time_steps_per_episode 200, learning_steps 40, total_time_steps 20800, total_learning_steps 4160
episode 104, score -1678.235610867911, avg_score_total -1361.865, avg_score_last_20 -1435.1035187720513, time_steps_per_episode 200, learning_steps 40, total_time_steps 21000, total_learning_steps 4200
episode 105, score -1060.5530268383304, avg_score_total -1359.022, avg_score_last_20 -1413.2759273781935, time_steps_per_episode 200, learning_steps 40, total_time_steps 21200, total_learning_steps 4240
episode 106, score -1393.785248009952, avg_score_total -1359.347, avg_score_last_20 -1406.8232717392725, time_steps_per_episode 200, learning_steps 40, total_time_steps 21400, total_learning_steps 4280
